ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
22031,HY382200,08/14/2015 03:20:00 PM,001XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,OFFICE,true,true,0122,001,2,32,01A,1174896,1898494,2015,10/29/2015 03:53:07 PM,41.876856607,-87.633296057,"(41.876856607, -87.633296057)"
22032,HY383014,08/15/2015 02:37:00 AM,003XX N CENTRAL PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1123,011,28,27,01A,1152321,1902190,2015,08/24/2015 03:30:37 PM,41.88747417,-87.716087141,"(41.88747417, -87.716087141)"
22034,HY383024,08/15/2015 03:05:00 AM,059XX S MARSHFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0714,007,15,67,01A,1166358,1865336,2015,08/24/2015 03:30:37 PM,41.786054484,-87.665591164,"(41.786054484, -87.665591164)"
22033,HY382553,08/15/2015 02:17:00 PM,041XX W WILCOX ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1115,011,28,26,01A,1148732,1899012,2015,08/24/2015 03:30:37 PM,41.878823468,-87.729349283,"(41.878823468, -87.729349283)"
22035,HY384750,08/16/2015 01:52:00 PM,057XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0715,007,15,67,01A,1165989,1866709,2015,08/24/2015 03:30:37 PM,41.789830022,-87.666905081,"(41.789830022, -87.666905081)"
22036,HY385366,08/16/2015 10:26:00 PM,016XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1014,010,24,29,01A,1150669,1891448,2015,10/09/2015 03:56:45 PM,41.858029356,-87.722434585,"(41.858029356, -87.722434585)"
22039,HY385366,08/17/2015 04:08:00 PM,016XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1014,010,24,29,01A,1150669,1891448,2015,10/09/2015 03:56:45 PM,41.858029356,-87.722434585,"(41.858029356, -87.722434585)"
22037,HY386808,08/17/2015 09:45:00 PM,038XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1122,011,28,26,01A,1150761,1899385,2015,08/24/2015 03:30:37 PM,41.879807597,-87.721889369,"(41.879807597, -87.721889369)"
22038,HY386779,08/17/2015 09:59:00 PM,043XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1131,011,24,26,01A,1147557,1897670,2015,08/24/2015 03:30:37 PM,41.875163473,-87.733698124,"(41.875163473, -87.733698124)"
22040,HY388840,08/19/2015 02:09:00 PM,074XX S HARVARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,0731,007,17,69,01A,1175245,1855588,2015,08/31/2015 03:43:09 PM,41.759110864,-87.63329808,"(41.759110864, -87.63329808)"
22041,HY389714,08/20/2015 02:49:00 AM,027XX N CENTRAL PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2524,025,35,22,01A,1151917,1917883,2015,08/31/2015 03:43:09 PM,41.930545187,-87.717156771,"(41.930545187, -87.717156771)"
22050,HX266828,08/20/2015 09:17:00 AM,069XX S SOUTH SHORE DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,43,01A,1193430,1859374,2015,08/31/2015 03:43:09 PM,41.769074527,-87.566528191,"(41.769074527, -87.566528191)"
22042,HY391099,08/21/2015 02:36:00 AM,013XX N BURLING ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1822,018,27,8,01A,1170994,1908956,2015,08/31/2015 03:43:09 PM,41.905651437,-87.647315778,"(41.905651437, -87.647315778)"
22044,HY392002,08/21/2015 06:24:00 PM,038XX W LEXINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1133,011,24,26,01A,1150891,1896422,2015,10/09/2015 03:56:45 PM,41.871674253,-87.721489579,"(41.871674253, -87.721489579)"
22045,HY392566,08/22/2015 04:43:00 AM,052XX S MENARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0811,008,23,56,01A,1138586,1869264,2015,08/31/2015 03:43:09 PM,41.797380337,-87.767323748,"(41.797380337, -87.767323748)"
22046,HY393536,08/22/2015 10:04:00 PM,040XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0921,009,14,58,01A,1156350,1877516,2015,08/31/2015 03:43:09 PM,41.819685484,-87.701957617,"(41.819685484, -87.701957617)"
22047,HY393931,08/23/2015 06:13:00 AM,015XX N AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2535,025,30,23,01A,1150424,1910011,2015,08/31/2015 03:43:09 PM,41.908973017,-87.722849178,"(41.908973017, -87.722849178)"
22048,HY394808,08/23/2015 08:51:00 PM,010XX N LAMON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1531,015,37,25,01A,1143508,1906312,2015,08/31/2015 03:43:09 PM,41.898954812,-87.748348292,"(41.898954812, -87.748348292)"
22049,HY394828,08/23/2015 09:30:00 PM,024XX W 58TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0824,008,16,63,01A,1160941,1866136,2015,08/31/2015 03:43:09 PM,41.788363519,-87.685430532,"(41.788363519, -87.685430532)"
22051,HY396147,08/24/2015 08:45:00 PM,012XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,2534,025,37,23,01A,1148158,1907752,2015,09/24/2015 07:47:58 PM,41.902818046,-87.73123173,"(41.902818046, -87.73123173)"
22052,HY397193,08/25/2015 06:20:00 PM,050XX S DORCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0222,002,4,39,01A,1186405,1872022,2015,09/01/2015 03:10:12 PM,41.803950638,-87.591878288,"(41.803950638, -87.591878288)"
22053,HY395938,08/25/2015 06:53:00 PM,011XX N CICERO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,false,false,1531,015,37,25,01A,1144151,1907349,2015,09/01/2015 03:10:12 PM,41.9017884,-87.745960471,"(41.9017884, -87.745960471)"
22054,HY397524,08/25/2015 10:57:00 PM,107XX S WENTWORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0513,005,34,49,01A,1176857,1833520,2015,09/01/2015 03:10:12 PM,41.698517258,-87.62805289,"(41.698517258, -87.62805289)"
22056,HY397947,08/26/2015 11:37:00 AM,030XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,1134,011,28,27,01A,1155960,1898002,2015,09/10/2015 11:43:14 AM,41.875909279,-87.702836558,"(41.875909279, -87.702836558)"
22057,HY397947,08/26/2015 02:07:00 PM,030XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,1134,011,28,27,01A,1155960,1898002,2015,09/10/2015 11:43:14 AM,41.875909279,-87.702836558,"(41.875909279, -87.702836558)"
22055,HY398643,08/26/2015 08:30:00 PM,011XX W 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0933,009,16,61,01A,1169612,1870980,2015,11/01/2015 03:54:17 PM,41.801472294,-87.653496757,"(41.801472294, -87.653496757)"
22100,HY400038,08/28/2015 09:20:00 PM,066XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0322,003,20,69,01A,,,2015,11/11/2015 03:59:11 PM,,,
22059,HY401623,08/29/2015 04:07:00 AM,030XX W LEXINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1134,011,28,27,01A,1156317,1896547,2015,09/10/2015 11:43:14 AM,41.871909407,-87.701565099,"(41.871909407, -87.701565099)"
22216,HY402004,08/29/2015 09:42:00 AM,052XX S LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0814,008,23,56,01A,,,2015,12/12/2015 03:57:45 PM,,,
22217,HY402004,08/29/2015 09:42:00 AM,052XX S LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0814,008,23,56,01A,,,2015,12/12/2015 03:57:45 PM,,,
22060,HY402811,08/30/2015 02:05:00 AM,082XX S INGLESIDE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0631,006,8,44,01A,1183999,1850536,2015,09/10/2015 11:43:14 AM,41.745047697,-87.601372888,"(41.745047697, -87.601372888)"
22061,HY402725,08/30/2015 03:15:00 AM,060XX S THROOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0713,007,16,67,01A,1168694,1864653,2015,09/10/2015 11:43:14 AM,41.784130147,-87.657045934,"(41.784130147, -87.657045934)"
22062,HY404385,08/31/2015 11:00:00 AM,039XX N SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1733,017,33,16,01A,1153687,1926021,2015,09/10/2015 11:43:14 AM,41.95284137,-87.710435076,"(41.95284137, -87.710435076)"
22063,HY405177,08/31/2015 09:04:00 PM,049XX S DREXEL BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0222,002,4,39,01A,1183148,1872501,2015,09/10/2015 11:43:14 AM,41.805341531,-87.603808314,"(41.805341531, -87.603808314)"
22064,HY405238,08/31/2015 10:21:00 PM,004XX N LAWLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1532,015,28,25,01A,1142624,1902469,2015,09/10/2015 11:43:14 AM,41.888425663,-87.751690918,"(41.888425663, -87.751690918)"
22065,HY406264,09/01/2015 09:55:00 PM,061XX W FULLERTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,2512,025,29,19,01A,1135255,1915305,2015,09/10/2015 11:43:14 AM,41.923783122,-87.778448036,"(41.923783122, -87.778448036)"
22066,HY406754,09/02/2015 01:00:00 AM,013XX S KOSTNER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1011,010,24,29,01A,1147264,1893380,2015,09/10/2015 11:43:14 AM,41.863396806,-87.734883724,"(41.863396806, -87.734883724)"
22067,HY406781,09/02/2015 01:45:00 AM,027XX W LEXINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1135,011,2,27,01A,1158251,1896590,2015,09/10/2015 11:43:14 AM,41.871988123,-87.694463394,"(41.871988123, -87.694463394)"
22068,HY406845,09/02/2015 02:41:00 AM,050XX N WINTHROP AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2024,020,48,3,01A,1167957,1933812,2015,09/10/2015 11:43:14 AM,41.973923557,-87.657752098,"(41.973923557, -87.657752098)"
22069,HY406845,09/02/2015 02:55:00 AM,050XX N WINTHROP AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2024,020,48,3,01A,1167957,1933812,2015,09/10/2015 11:43:14 AM,41.973923557,-87.657752098,"(41.973923557, -87.657752098)"
22070,HY407022,09/02/2015 09:40:00 AM,026XX E 74TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0334,003,7,43,01A,1195243,1856193,2015,09/30/2015 03:32:31 PM,41.760301092,-87.559987568,"(41.760301092, -87.559987568)"
22072,HY402928,09/02/2015 12:04:00 PM,033XX W WALNUT ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1123,011,28,27,01A,1153965,1901425,2015,09/10/2015 11:43:14 AM,41.885342324,-87.710070246,"(41.885342324, -87.710070246)"
22074,HY407689,09/02/2015 06:03:00 PM,059XX W DIVERSEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,2514,025,30,19,01A,1136133,1917995,2015,09/10/2015 11:43:14 AM,41.931149149,-87.775157527,"(41.931149149, -87.775157527)"
22071,HY407978,09/02/2015 09:22:00 PM,068XX S MERRILL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,0331,003,5,43,01A,1191725,1859996,2015,09/10/2015 11:43:14 AM,41.770822885,-87.572757629,"(41.770822885, -87.572757629)"
22073,HY408008,09/02/2015 10:33:00 PM,008XX W 68TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0723,007,17,68,01A,1171674,1859756,2015,09/10/2015 11:43:14 AM,41.770627366,-87.646263585,"(41.770627366, -87.646263585)"
22075,HY408120,09/02/2015 11:50:00 PM,007XX N LONG AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1524,015,37,25,01A,1140187,1904331,2015,09/10/2015 11:43:14 AM,41.893580201,-87.760594937,"(41.893580201, -87.760594937)"
22077,HY408225,09/03/2015 05:35:00 AM,016XX W 115TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,true,2234,022,34,75,01A,1167266,1828441,2015,11/30/2015 03:54:04 PM,41.684789786,-87.6633151,"(41.684789786, -87.6633151)"
10222837,HY409243,09/03/2015 07:28:12 PM,057XX N SHERIDAN RD,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,false,false,2022,020,48,77,01B,1168593,1938326,2015,09/10/2015 11:43:14 AM,41.9862963,-87.655281972,"(41.9862963, -87.655281972)"
22078,HY410760,09/04/2015 10:35:00 PM,011XX S RICHMOND ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1135,011,28,29,01A,1156863,1895013,2015,09/17/2015 11:37:18 AM,41.867688909,-87.69960208,"(41.867688909, -87.69960208)"
22081,HY410924,09/05/2015 12:21:00 AM,018XX S DRAKE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1021,010,24,29,01A,1152997,1890738,2015,09/17/2015 11:37:18 AM,41.856035263,-87.713908132,"(41.856035263, -87.713908132)"
22080,HY410903,09/05/2015 04:39:00 AM,016XX N MAYFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2531,025,29,25,01A,1136839,1910396,2015,09/17/2015 11:37:18 AM,41.91028398,-87.772745617,"(41.91028398, -87.772745617)"
22082,HY412263,09/06/2015 02:29:00 AM,061XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0313,003,20,42,01A,1182620,1864479,2015,09/17/2015 11:37:18 AM,41.783340761,-87.605993706,"(41.783340761, -87.605993706)"
22083,HY412330,09/06/2015 03:02:00 AM,011XX W RANDOLPH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1224,012,27,28,01A,1168987,1901192,2015,09/17/2015 11:37:18 AM,41.884390318,-87.654913645,"(41.884390318, -87.654913645)"
22086,HY413844,09/07/2015 12:16:00 PM,008XX E 81ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0631,006,8,44,01A,1183138,1851471,2015,11/26/2015 03:54:17 PM,41.747633492,-87.604498673,"(41.747633492, -87.604498673)"
22085,HY414436,09/07/2015 08:26:00 PM,031XX W FIFTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,28,27,01A,1155577,1899080,2015,09/17/2015 11:37:18 AM,41.878875132,-87.70421379,"(41.878875132, -87.70421379)"
22087,HY414739,09/08/2015 05:10:00 AM,033XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1731,017,30,16,01A,1147817,1922092,2015,09/17/2015 11:37:18 AM,41.942174917,-87.732114997,"(41.942174917, -87.732114997)"
22088,HY416191,09/09/2015 06:20:00 AM,082XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0411,004,8,45,01A,1186638,1850688,2015,09/17/2015 11:37:18 AM,41.745402793,-87.591698509,"(41.745402793, -87.591698509)"
22089,HY418059,09/10/2015 03:20:00 PM,016XX N FRANCISCO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1421,014,1,24,01A,1156884,1910708,2015,09/17/2015 11:37:18 AM,41.910757025,-87.699099103,"(41.910757025, -87.699099103)"
22091,HY422047,09/13/2015 07:48:00 PM,084XX S LOOMIS BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0613,006,21,71,01A,1168470,1848704,2015,09/24/2015 07:50:13 PM,41.740368828,-87.658326062,"(41.740368828, -87.658326062)"
22092,HY422170,09/14/2015 12:30:00 AM,083XX S WOOD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0614,006,18,71,01A,1165799,1849431,2015,09/24/2015 07:50:13 PM,41.742420897,-87.66809174,"(41.742420897, -87.66809174)"
22096,HY422355,09/14/2015 12:43:00 AM,108XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,2234,022,34,75,01A,1171584,1832762,2015,09/24/2015 07:50:13 PM,41.696554057,-87.647382098,"(41.696554057, -87.647382098)"
22094,HY422267,09/14/2015 02:11:00 AM,008XX E BOWEN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0214,002,4,36,01A,1182598,1877649,2015,09/24/2015 07:50:13 PM,41.81948083,-87.605665593,"(41.81948083, -87.605665593)"
22095,HY423657,09/14/2015 11:04:00 PM,038XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1133,011,24,26,01A,1150820,1897748,2015,09/24/2015 07:50:13 PM,41.875314335,-87.721715561,"(41.875314335, -87.721715561)"
22215,HY405070,09/14/2015 11:33:00 PM,118XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0522,005,34,53,01A,,,2015,12/11/2015 03:56:09 PM,,,
22097,HY423835,09/15/2015 04:48:00 AM,085XX S BURLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0424,004,10,46,01A,1199293,1849013,2015,09/24/2015 07:50:13 PM,41.740497814,-87.545385562,"(41.740497814, -87.545385562)"
22099,HY425242,09/16/2015 08:00:00 AM,091XX S YATES BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0413,004,7,48,01A,1193756,1844897,2015,09/24/2015 07:50:13 PM,41.729340475,-87.565806616,"(41.729340475, -87.565806616)"
22098,HY426270,09/16/2015 10:25:00 PM,115XX S CHURCH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2212,022,34,75,01A,1165511,1827942,2015,10/09/2015 03:56:45 PM,41.683457718,-87.669753776,"(41.683457718, -87.669753776)"
22101,HY427585,09/18/2015 12:05:00 AM,002XX S LARAMIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1522,015,29,25,01A,1141756,1898612,2015,09/30/2015 03:35:37 PM,41.877857676,-87.754974025,"(41.877857676, -87.754974025)"
22102,HY429510,09/19/2015 10:55:00 AM,035XX W 24TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1024,010,22,30,01A,1153241,1887830,2015,09/30/2015 03:35:37 PM,41.848050533,-87.713089622,"(41.848050533, -87.713089622)"
22103,HY430052,09/19/2015 06:47:00 PM,012XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2534,025,37,23,01A,1148156,1907842,2015,10/09/2015 03:56:45 PM,41.903065053,-87.731236756,"(41.903065053, -87.731236756)"
22104,HY430167,09/19/2015 08:01:00 PM,011XX E 44TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0222,002,4,39,01A,1184460,1875896,2015,09/30/2015 03:35:37 PM,41.814627001,-87.598890085,"(41.814627001, -87.598890085)"
22106,HY430544,09/20/2015 04:28:00 AM,058XX S LA SALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0232,002,20,68,01A,1176298,1866287,2015,09/30/2015 03:35:37 PM,41.788446509,-87.629117823,"(41.788446509, -87.629117823)"
22105,HY430656,09/20/2015 07:04:00 AM,117XX S LA SALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0522,005,34,53,01A,1177368,1827046,2015,09/30/2015 03:35:37 PM,41.680740148,-87.626376407,"(41.680740148, -87.626376407)"
22107,HY430817,09/20/2015 11:05:00 AM,084XX S HERMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0614,006,18,71,01A,1166148,1848709,2015,09/30/2015 03:35:37 PM,41.740432213,-87.666833487,"(41.740432213, -87.666833487)"
22108,HY431514,09/20/2015 09:16:00 PM,016XX N CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2532,025,37,25,01A,1138794,1910262,2015,09/30/2015 03:35:37 PM,41.909880981,-87.765566855,"(41.909880981, -87.765566855)"
22109,HY430209,09/20/2015 10:06:00 PM,034XX W FLOURNOY ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,1133,011,24,27,01A,1153451,1896817,2015,09/30/2015 03:35:37 PM,41.872707718,-87.712080245,"(41.872707718, -87.712080245)"
22110,HY431578,09/20/2015 10:36:00 PM,101XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0511,005,9,49,01A,1180372,1837727,2015,09/30/2015 03:35:37 PM,41.709982123,-87.615054293,"(41.709982123, -87.615054293)"
22111,HY432757,09/21/2015 07:12:00 PM,055XX W POTOMAC AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2532,025,37,25,01A,1139085,1908108,2015,09/30/2015 03:35:37 PM,41.903964862,-87.764550294,"(41.903964862, -87.764550294)"
10244875,HY433114,09/22/2015 12:50:00 AM,058XX S PULASKI RD,0130,HOMICIDE,SECOND DEGREE MURDER,STREET,false,false,0813,008,13,62,01A,1150707,1865354,2015,09/30/2015 03:35:37 PM,41.786423093,-87.722975512,"(41.786423093, -87.722975512)"
22112,HY433852,09/22/2015 04:19:00 PM,092XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0633,006,8,44,01A,1183184,1843681,2015,09/30/2015 03:35:37 PM,41.726255791,-87.604571828,"(41.726255791, -87.604571828)"
22114,HY429076,09/23/2015 06:52:00 PM,055XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1522,015,29,25,01A,1139504,1897134,2015,09/30/2015 03:35:37 PM,41.873843195,-87.763278976,"(41.873843195, -87.763278976)"
22113,HY435847,09/24/2015 12:06:00 AM,092XX S UNIVERSITY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0413,004,8,47,01A,1185490,1843990,2015,10/09/2015 03:58:54 PM,41.727049838,-87.596115157,"(41.727049838, -87.596115157)"
22115,HY436629,09/24/2015 04:13:00 PM,030XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0133,001,2,35,01A,1177743,1884647,2015,10/09/2015 03:58:54 PM,41.838795341,-87.623263328,"(41.838795341, -87.623263328)"
22116,HY437443,09/25/2015 09:55:00 AM,121XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0524,005,34,53,01A,1168861,1824253,2015,10/27/2015 03:54:04 PM,41.673263009,-87.657596463,"(41.673263009, -87.657596463)"
22220,HV565069,09/26/2015 12:00:00 AM,001XX N LAPORTE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1532,015,28,25,01A,,,2015,12/15/2015 04:02:04 PM,,,
22117,HY439020,09/26/2015 12:45:00 PM,007XX E 47TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,true,false,0223,002,4,38,01A,1182174,1874015,2015,10/09/2015 03:58:54 PM,41.809518699,-87.607333603,"(41.809518699, -87.607333603)"
22119,HY439900,09/27/2015 05:53:00 AM,011XX W 18TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1235,012,25,31,01A,1169201,1891572,2015,10/09/2015 03:58:54 PM,41.857987652,-87.65440722,"(41.857987652, -87.65440722)"
22120,HY440415,09/27/2015 02:42:00 PM,039XX W ROOSEVELT RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,29,01A,1150330,1894421,2015,10/09/2015 03:58:54 PM,41.866194233,-87.723601432,"(41.866194233, -87.723601432)"
22121,HY439941,09/27/2015 03:19:00 PM,096XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2223,022,21,73,01A,1171350,1840820,2015,10/09/2015 03:58:54 PM,41.718671544,-87.64800406,"(41.718671544, -87.64800406)"
22124,HY441412,09/28/2015 11:17:00 AM,001XX N KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1222,012,27,27,01A,1155029,1900649,2015,10/09/2015 03:58:54 PM,41.883191631,-87.706183852,"(41.883191631, -87.706183852)"
22123,HY442160,09/28/2015 08:08:00 PM,053XX S ABERDEEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0934,009,16,61,01A,1169890,1869399,2015,10/09/2015 03:58:54 PM,41.797127818,-87.652523151,"(41.797127818, -87.652523151)"
22122,HY442160,09/28/2015 08:10:00 PM,053XX S ABERDEEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0934,009,16,61,01A,1169890,1869399,2015,10/09/2015 03:58:54 PM,41.797127818,-87.652523151,"(41.797127818, -87.652523151)"
22126,HY442430,09/29/2015 01:05:00 AM,003XX W 42ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0925,009,3,37,01A,1174451,1877100,2015,10/24/2015 04:02:12 PM,41.818159764,-87.635568188,"(41.818159764, -87.635568188)"
22125,HY442430,09/29/2015 01:45:00 AM,003XX W 42ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0925,009,3,37,01A,1174451,1877100,2015,10/24/2015 04:02:12 PM,41.818159764,-87.635568188,"(41.818159764, -87.635568188)"
22127,HY442430,09/29/2015 03:35:00 AM,003XX W 42ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0925,009,3,37,01A,1174451,1877100,2015,10/24/2015 04:02:12 PM,41.818159764,-87.635568188,"(41.818159764, -87.635568188)"
22128,HY443182,09/29/2015 02:56:00 PM,072XX S EXCHANGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0334,003,7,43,01A,1193952,1857506,2015,10/09/2015 03:58:54 PM,41.763935813,-87.564676016,"(41.763935813, -87.564676016)"
22129,HY444358,09/30/2015 02:12:00 PM,107XX S EGGLESTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,2233,022,34,49,01A,1175194,1833638,2015,10/31/2015 03:54:33 PM,41.698878276,-87.634138449,"(41.698878276, -87.634138449)"
22130,HY444338,09/30/2015 03:10:00 PM,015XX N HARDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2535,025,30,23,01A,1149764,1909990,2015,10/09/2015 03:58:54 PM,41.908928255,-87.725274277,"(41.908928255, -87.725274277)"
22132,HR679297,10/01/2015 08:35:00 PM,034XX W ARMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1413,014,26,22,01A,1153240,1913079,2015,10/09/2015 03:58:54 PM,41.917336417,-87.712422847,"(41.917336417, -87.712422847)"
22131,HY445645,10/01/2015 10:09:00 PM,014XX N LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2532,025,37,25,01A,1140428,1908968,2015,10/09/2015 03:58:54 PM,41.90630026,-87.759595922,"(41.90630026, -87.759595922)"
